SWMM5 LID Report File

Project:  Example 6 
LID Unit: asd in Subcatchment S5

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 01/01/3007 00:01:00	    0.017	    1.000	   0.0000	    1.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.101	    0.000
 01/01/3007 00:02:00	    0.033	    1.000	   0.0000	    1.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.103	    0.000
 01/01/3007 00:03:00	    0.050	    1.000	   0.0000	    1.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.104	    0.000
 01/01/3007 00:04:00	    0.067	    1.000	   0.0000	    1.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.106	    0.000
 01/01/3007 00:05:00	    0.083	    1.000	   0.0000	    1.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.107	    0.000
 01/01/3007 00:06:00	    0.100	    1.140	   0.0000	    1.140	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.109	    0.000
 01/01/3007 00:07:00	    0.117	    1.140	   0.0000	    1.140	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.110	    0.000
 01/01/3007 00:08:00	    0.133	    1.140	   0.0000	    1.140	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.112	    0.000
 01/01/3007 00:09:00	    0.150	    1.140	   0.0000	    1.140	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.113	    0.000
 01/01/3007 00:10:00	    0.167	    1.140	   0.0000	    1.140	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.115	    0.000
 01/01/3007 00:11:00	    0.183	    1.330	   0.0000	    1.330	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.117	    0.000
 01/01/3007 00:12:00	    0.200	    1.330	   0.0000	    1.330	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.119	    0.000
 01/01/3007 00:13:00	    0.217	    1.330	   0.0000	    1.330	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.120	    0.000
 01/01/3007 00:14:00	    0.233	    1.330	   0.0000	    1.330	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.122	    0.000
 01/01/3007 00:15:00	    0.250	    1.330	   0.0000	    1.330	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.124	    0.000
 01/01/3007 00:16:00	    0.267	    2.230	   0.0000	    2.230	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.127	    0.000
 01/01/3007 00:17:00	    0.283	    2.230	   0.0000	    2.230	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.130	    0.000
 01/01/3007 00:18:00	    0.300	    2.230	   0.0000	    2.230	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.133	    0.000
 01/01/3007 00:19:00	    0.317	    2.230	   0.0000	    2.171	    0.000	    0.000	    0.000	   0.059	    0.000	    0.000	    0.000	    0.136	    0.000
 01/01/3007 00:20:00	    0.333	    2.230	   0.0000	    2.043	    0.000	    0.000	    0.000	   0.187	    0.000	    0.000	    0.000	    0.139	    0.000
 01/01/3007 00:21:00	    0.350	    2.840	   0.0000	    1.937	    0.000	    0.000	    0.000	   0.903	    0.000	    0.000	    0.000	    0.142	    0.000
 01/01/3007 00:22:00	    0.367	    2.840	   0.0000	    1.850	    0.000	    0.000	    0.000	   0.990	    0.000	    0.000	    0.000	    0.145	    0.000
 01/01/3007 00:23:00	    0.383	    2.840	   0.0000	    1.776	    0.000	    0.000	    0.000	   1.064	    0.000	    0.000	    0.000	    0.147	    0.000
 01/01/3007 00:24:00	    0.400	    2.840	   0.0000	    1.711	    0.000	    0.000	    0.000	   1.129	    0.000	    0.000	    0.000	    0.149	    0.000
 01/01/3007 00:25:00	    0.417	    2.840	   0.0000	    1.655	    0.000	    0.000	    0.000	   1.185	    0.000	    0.000	    0.000	    0.152	    0.000
 01/01/3007 00:26:00	    0.433	    5.490	   0.0000	    1.606	    0.000	    0.000	    0.000	   3.884	    0.000	    0.000	    0.000	    0.154	    0.000
 01/01/3007 00:27:00	    0.450	    5.490	   0.0000	    1.561	    0.000	    0.000	    0.000	   3.929	    0.000	    0.000	    0.000	    0.156	    0.000
 01/01/3007 00:28:00	    0.467	    5.490	   0.0000	    1.522	    0.000	    0.000	    0.000	   3.968	    0.000	    0.000	    0.000	    0.158	    0.000
 01/01/3007 00:29:00	    0.483	    5.490	   0.0000	    1.486	    0.000	    0.000	    0.000	   4.004	    0.000	    0.000	    0.000	    0.160	    0.000
 01/01/3007 00:30:00	    0.500	    5.490	   0.0000	    1.453	    0.000	    0.000	    0.000	   4.037	    0.000	    0.000	    0.000	    0.162	    0.000
 01/01/3007 00:31:00	    0.517	    9.950	   0.0000	    1.423	    0.000	    0.000	    0.000	   8.527	    0.000	    0.000	    0.000	    0.164	    0.000
 01/01/3007 00:32:00	    0.533	    9.950	   0.0000	    1.395	    0.000	    0.000	    0.000	   8.555	    0.000	    0.000	    0.000	    0.166	    0.000
 01/01/3007 00:33:00	    0.550	    9.950	   0.0000	    1.369	    0.000	    0.000	    0.000	   8.581	    0.000	    0.000	    0.000	    0.168	    0.000
 01/01/3007 00:34:00	    0.567	    9.950	   0.0000	    1.346	    0.000	    0.000	    0.000	   8.604	    0.000	    0.000	    0.000	    0.170	    0.000
 01/01/3007 00:35:00	    0.583	    9.950	   0.0000	    1.323	    0.000	    0.000	    0.000	   8.627	    0.000	    0.000	    0.000	    0.172	    0.000
 01/01/3007 00:36:00	    0.600	    4.120	   0.0000	    1.303	    0.000	    0.000	    0.000	   2.817	    0.000	    0.000	    0.000	    0.174	    0.000
 01/01/3007 00:37:00	    0.617	    4.120	   0.0000	    1.283	    0.000	    0.000	    0.000	   2.837	    0.000	    0.000	    0.000	    0.175	    0.000
 01/01/3007 00:38:00	    0.633	    4.120	   0.0000	    1.265	    0.000	    0.000	    0.000	   2.855	    0.000	    0.000	    0.000	    0.177	    0.000
 01/01/3007 00:39:00	    0.650	    4.120	   0.0000	    1.248	    0.000	    0.000	    0.000	   2.872	    0.000	    0.000	    0.000	    0.179	    0.000
 01/01/3007 00:40:00	    0.667	    4.120	   0.0000	    1.232	    0.000	    0.000	    0.000	   2.888	    0.000	    0.000	    0.000	    0.181	    0.000
 01/01/3007 00:41:00	    0.683	    2.480	   0.0000	    1.217	    0.000	    0.000	    0.000	   1.263	    0.000	    0.000	    0.000	    0.182	    0.000
 01/01/3007 00:42:00	    0.700	    2.480	   0.0000	    1.209	    0.000	    0.000	    0.000	   1.271	    0.000	    0.000	    0.000	    0.184	    0.000
 01/01/3007 00:43:00	    0.717	    2.480	   0.0000	    1.195	    0.000	    0.000	    0.000	   1.285	    0.000	    0.000	    0.000	    0.186	    0.000
 01/01/3007 00:44:00	    0.733	    2.480	   0.0000	    1.182	    0.000	    0.000	    0.000	   1.298	    0.000	    0.000	    0.000	    0.187	    0.000
 01/01/3007 00:45:00	    0.750	    2.480	   0.0000	    1.169	    0.000	    0.000	    0.000	   1.311	    0.000	    0.000	    0.000	    0.189	    0.000
 01/01/3007 00:46:00	    0.767	    1.460	   0.0000	    1.157	    0.000	    0.000	    0.000	   0.303	    0.000	    0.000	    0.000	    0.190	    0.000
 01/01/3007 00:47:00	    0.783	    1.460	   0.0000	    1.145	    0.000	    0.000	    0.000	   0.315	    0.000	    0.000	    0.000	    0.192	    0.000
 01/01/3007 00:48:00	    0.800	    1.460	   0.0000	    1.134	    0.000	    0.000	    0.000	   0.326	    0.000	    0.000	    0.000	    0.194	    0.000
 01/01/3007 00:49:00	    0.817	    1.460	   0.0000	    1.123	    0.000	    0.000	    0.000	   0.337	    0.000	    0.000	    0.000	    0.195	    0.000
 01/01/3007 00:50:00	    0.833	    1.460	   0.0000	    1.113	    0.000	    0.000	    0.000	   0.347	    0.000	    0.000	    0.000	    0.197	    0.000
 01/01/3007 00:51:00	    0.850	    1.220	   0.0000	    1.103	    0.000	    0.000	    0.000	   0.117	    0.000	    0.000	    0.000	    0.198	    0.000
 01/01/3007 00:52:00	    0.867	    1.220	   0.0000	    1.094	    0.000	    0.000	    0.000	   0.126	    0.000	    0.000	    0.000	    0.200	    0.000
 01/01/3007 00:53:00	    0.883	    1.220	   0.0000	    1.085	    0.000	    0.000	    0.000	   0.135	    0.000	    0.000	    0.000	    0.201	    0.000
 01/01/3007 00:54:00	    0.900	    1.220	   0.0000	    1.076	    0.000	    0.025	    0.025	   0.144	    0.000	    0.000	    0.000	    0.203	    0.000
 01/01/3007 00:55:00	    0.917	    1.220	   0.0000	    1.068	    0.000	    0.026	    0.026	   0.152	    0.000	    0.000	    0.000	    0.204	    0.000
 01/01/3007 00:56:00	    0.933	    1.060	   0.0000	    1.060	    0.000	    0.026	    0.026	   0.000	    0.000	    0.000	    0.000	    0.206	    0.000
 01/01/3007 00:57:00	    0.950	    1.060	   0.0000	    1.052	    0.000	    0.026	    0.026	   0.008	    0.000	    0.000	    0.000	    0.207	    0.000
 01/01/3007 00:58:00	    0.967	    1.060	   0.0000	    1.044	    0.000	    0.027	    0.027	   0.016	    0.000	    0.000	    0.000	    0.208	    0.000
